DOI	Cited title	Citation ID	CC paragraph	Citation_context	Cited_content	Citing DOI	PMCID	Label
10.1016/j.cub.2017.05.064	Animal Communication: When I’m Calling You, Will You Answer Too?	B94-biomedicines-08-00261	Increasing evidence demonstrates that the dosage forms and conditions of patients can affect the absorption of Res. However, the gastrointestinal (GI) tract is involved in the absorption of Res after oral administration with a peak at plasma concentration after 30 min and 1.5–2 h [ 75 , 76 , 77 ]. The absorption of Res undergoes an increase via grape consumption and using other forms such as micronized form [ 78 , 79 , 80 , 81 , 82 ]. After absorption, Res can be distributed in different organs, such as the brain, liver, intestine, and fat [ 83 ]. For metabolism, enterocytes and hepatocytes play the most important role after oral administration. Notably, Res influx occurs through the passive diffusion and carrier-mediated process [ 84 , 85 ]. The metabolism of Res also confirms its distribution in liver, so that it has been reported that Res is a substrate of hepatic sulfotransferase and glucuronosyltransferase, and it extensively accumulates in liver [ 86 ]. The interesting point is that metabolism of Res relies on dose. Low doses (5–50 mg) of Res are bio-transformed into glucuronides, while high doses (more than 250 mg) are bio-transformed into monosulfates [ 87 , 88 , 89 , 90 , 91 ]. Facial areas and urine are responsible for the elimination of Res. It has been noted that the administration form of Res may affect its elimination, which can be delayed when micronized Res is used [ 92 , 93 , 94 , 95 , 96 ].	It has been noted that the administration form of Res may affect its elimination, which can be delayed when micronized Res is used [ 92 , 93 , 94 , 95 , 96 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/biomedicines8080261	7460084	Unrelated
10.1016/j.cub.2017.05.064	Animal Communication: When I'm Calling You, Will You Answer Too?	cit7	Water is an essential ingredient for many aspects of our lives, including growth and development, and its accessibility in its original form is crucial for all living things on the earth. 1,2  Although 71% of earth's crust is protected with water, hardly 0.03% is contemplated as fresh water that can be employed at firsthand. 3  The availability of purified and unpolluted water is affected by numerous factors with the elevated rate of population growth and the quick progress of industries. 2,4  Water is frequently contaminated with harmful compounds including different dyes, fertilizers, heavy metal ions, oil, and other unknown substances in industrial sectors of fabric, paper, food, and cosmetics. 5  Annually 1/10th million varieties of different dyes are produced from various textile industries, with MB accounting for 10–15% of the total. Industrial dyes and pollutants can cause major sickness in humans and animals, like cancer, skin sensitivities, allergies, or liver malfunction. 6  Over the last decade, a substantial burden on the dairy industry is mastitis, which is followed by somatic variation in the milk and irregularity of mammary gland function. Mastitis is attributable to species, namely, bacteria, fungi, and viruses. 7 S. aureus  and  E. coli  are found to be common pathogenic bacteria causing a threat to human health. 8  Membrane separation, chemical oxidation, coagulation, flocculation, chemical precipitation, catalysis, photocatalysis, and adsorption processes were employed for removing heavy metals and dyes from water resources. 9–14  However, there are several limitations linked to these methodologies including incompetence, complicated and expensive procedure, elevated application and usage of a significant amount of energy. 2  Metal oxides including ZnO·Pr 6 O 11 , La 2 O 3 , TiO 2 , CdO, CeO 2 , CaO, and Fe 2 O 3 , and zero-valent metals (ZVM) are frequently chosen as promising co-catalysts. 15  They can be used in several applications including efficient catalysis, medical diagnosis, and UV protection. 16  Among them, calcium oxide (CaO) is advantageous because of its non-poisonous nature, as well as low cost, extensive band gap energy ( E g ), more stability, and higher catalytic activity (CA). The oxygen ion absorption is also enhanced using CaO, which is crucial for the catalysis process. CaO in bulk has a large  E g  of 7.1 eV (ref.  17  and  18 ) and a high  ε  of 11.8 (dielectric constant). However, CaO has limitations such as large  E g  and disability to utilize visible light in the degradation of dyes. 19–21  To overcome these limitations, various approaches have been adopted, which increase catalytic degradation as well as antibacterial action of CaO by doping polymers including St, acrylic binder, alginate, chitosan, and polyimide. 22  Recently, St has been proven to be an important industrial raw material that is utilized in different industries including foods, chemicals and medicines, as a fat substitute, water treatment agent and catalyst. 23,24  St is a naturally occurring biological macromolecule that acts as a catalyst for the elimination of dyes. 25  The CA of CaO can be further increased by doping group III members; Al-doped metal oxides exhibit less electrical resistance and good optical transmission in the visible region. However, we choose Al as a dopant. 26  In the present work, we adopted a co-precipitation approach to synthesize Al and St-doped CaO with different concentrations of Al (0, 2 and 4 wt%). The prepared products act as catalysts to remove the harmful dye MB. Its antibacterial action against different bacteria was also investigated.	The oxygen ion absorption is also enhanced using CaO, which is crucial for the catalysis process. CaO in bulk has a large  E g  of 7.1 eV ref.  17  and  18  and a high    of 11.8 dielectric constant.	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1039/d2ra06340a	9644690	Unrelated
28743020	Animal communication: when i’m calling you, will you answer too?	bib104	The main effects plot, Pareto chart, three-dimensional response surfaces and contour plots for FRAP assay are shown in Figures  2 (e), (f), and  4 (a)–(f), respectively.  Figure 2 (e) represents the main effects plot of UAE extraction temperature, time, and ethanol concentration on the FRAP activity of hog plum pulp. It is clear from  Figure 2 (e) and the ANOVA test for FRAP ( Table 4 ) that extraction temperature (X 1 ), extraction time (X 2 ), and ethanol concentration (X 3 ) significantly ( p  < 0.01) affect the FRAP assay of hog plum pulp. It was observed that the hog plum pulp extracts with higher temperature ranges from 60 to 80 °C showed increased FRAP value. The temperature-dependent trend in FRAP activity observed experimentally could be explained by changes in solvent characteristics with temperature and decomposition or alteration of the extract. As the temperature rises, more compounds may be extracted due to increased diffusivity within the extraction media and relaxation of the food matrix, which may account for the increase in FRAP activity from 60 to 80 °C. Hossain and Hossain [ 100 ] reported the maximum FRAP activity in Burmese grape pulp at 80 °C. In previous investigations, Hani et al. [ 101 ] and Deng et al. [ 92 ] recorded 60 °C and 68 °C as the optimal temperature in the UAE for bitter gourd and sugar apple, respectively. Similarly, the results showed a significant ( p  < 0.01) effect of extraction time on FRAP activity of hog plum pulp extract. Precisely, the values were decreased when the extraction time was increased from 30 to 60 min. The decline of FRAP activity may be related to the oxidation of phenolic compounds caused by prolonged exposure to environmental variables such as light and oxygen [ 102 ]. The results were also explained by Fick’s second rule of diffusion, which states that after a specific time, there will be a final equilibrium between the solute concentration in the solid matrix (plant sample) and the bulk solution (extraction solvent) [ 103 ]. Hence, an optimal time is required to extract more phenolic compounds from hog plum pulp. The present study recorded the highest FRAP activity between 30 to 45 min. Chen et al. [ 104 ], Kashyap et al. [ 105 ], and Deng et al. [ 92 ], all demonstrated the maximum FRAP activity for  Lycium ruthenicum  Murr. Sequentially, fruit, Meghalayan cherry fruit, and sugar apple under an optimum extraction time of 30 min, 31 min, and 42.54 min. Figure 4 Response surface and contour plots showing the interaction effects of (a, b) time and temperature; (c, d) temperature and ethanol; (e, f) time and ethanol on the FRAP (Ferric reducing antioxidant power) of hog plum pulp. Figure 4	The results were also explained by Fick’s second rule of diffusion, which states that after a specific time, there will be a final equilibrium between the solute concentration in the solid matrix (plant sample) and the bulk solution (extraction solvent) [ 103 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1016/j.heliyon.2022.e11109	9587330	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: When i’m calling you, will you answer too?	CR78	As shown in Fig.  1 , the link between food, energy, water, and waste (FEWW) is investigated as an important issue (Garcia et al.,  2019 ; Kibler et al.,  2018 ). The FEWW nexus can be defined as an approach to estimating, developing, and implementing policies that consider optimal conditions for each segment in the nexus. Nexus provides a conceptual and analytical approach to socio-environmental systems and offers a framework for coordinating segments and managing natural resources (Costa,  2015 ). Many elements in the FEWW nexus interact with each other, and also they associate with various environmental, social, and economic factors (Smith et al.,  2014 ). For example, the COVID-19 outbreak has affected energy consumption; restrictions like curfews have reduced fuel consumption (De Vos,  2020 ). Moreover, since people prefer to stay home, demand for residential electricity has increased. On the other hand, regarding the closure of industrial and commercial units, the amount of electricity loads in these sectors has significantly decreased (Senthilkumar et al.,  2020 ). Additionally, coronavirus affects the water sources since severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has been diagnosed in untreated wastewater (Vickers,  2017 ). Moreover, water consumption in residential areas has slightly increased, but commercial and industrial consumption declined during the COVID-19 pandemic (Kalbusch et al.,  2020 ). Fig. 1 The impact of coronavirus epidemic on FEWW nexus in sustainable conditions	Additionally, coronavirus affects the water sources since severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has been diagnosed in untreated wastewater (Vickers,  2017 ).	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1007/s10668-023-03004-7	9948801	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: When I’m calling you, will you answer too?	B7-jcm-12-07721	Although the incidence of post-surgical double-J ureteral stent (DJUS) insertion has decreased, the potential issue of benign ureteroileal anastomotic stricture (UIAS) remains and can occur in 0–19% of patients within 1–2 years of performing urinary diversion [ 3 , 4 ]. UIAS can occur due to ureteroenteric ischemia resulting from the extended separation of the distal end of the ureter and poor suturing techniques, leading to fibrous scar hyperplasia [ 5 ]. Should the ureteral outlet stricture not be addressed in a timely manner, complicated upper urinary tract infections, stones, renal insufficiency, and other serious complications may develop [ 6 , 7 , 8 ]. DJUS insertion is the most used method for the treatment of benign ureteral strictures. Ureteral stents can be used alone or in combination with balloon dilation [ 9 , 10 ]. Previous studies have shown that DJUSs after balloon dilation can prevent ureteral rebound and scar contraction, help drain urine, and restore renal function.	Should the ureteral outlet stricture not be addressed in a timely manner, complicated upper urinary tract infections, stones, renal insufficiency, and other serious complications may develop [ 6 , 7 , 8 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/jcm12247721	10744104	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: When i’m calling you, will you answer too?	B9-molecules-28-02838	Dyes and pharmaceutical pollutants are becoming the most serious commercial organic contaminants due to their poisonous and carcinogenic nature. Both people and drinking water are vulnerable to the harmful effects of organic contaminants. The pharmaceuticals, especially ‘antibiotics’, due to their increased global consumption, have raised a universal concern, as their excessive usage is polluting the water sources used for both human and agricultural purposes. Among antibiotics, tetracycline (TC) is the most commonly used antibiotic worldwide. The fundamental structural constituent of TC is a tetracyclic ring structure comprising hydroxyl, methyl, keto, and the dimethylamino functional groups. Despite the number of health benefits of TC, it is still considered a pollutant, as it enters water sources through humans or animal excreta. TC is reportedly found in domestic wastewater and hospital wastewater in evident concentrations of 1 µg L −1  and 100 µg L −1 , respectively [ 1 , 2 ]. The elimination of organic pollutants (drugs + dyes) from the discharge of industrial wastewater, hospital wastewater, and domestic wastewater has received recognition in the field of environmental remediation. Organic dyes are carbon-containing complex compounds enriched with aromatic rings, and their nitro, sulfo, chloro, and ami-docyanogen series are particularly prevalent in industrial effluents, which are the primary source of water contamination. Color effluents from dyes and colour industries are not only causing colour problems in water bodies, but they are also becoming a source of pollution for living organisms by reducing or even stopping light and water re-oxygenation capacities, resulting in an interruption in aquatic life. These dyes have the potential to deplete dissolved O 2 , as well as to be hazardous to plants, wildlife, and humans. Methylene blue [ 3 ], crystal violet [ 4 ], malachite green [ 5 ], rhodamine-B [ 6 ], and other [ 7 ] dyes are among those that are considered harmful pollutants when they are found in water systems above the permitted limits and pollute the water sources. Thus, the invention of efficient methods to manage water contamination is currently considered a major issue in this field of study. Different methods have been implemented to eliminate the organic contaminants, including chemical oxidants, membrane processes, adsorption, and flotation. Nevertheless, the majority of the aforementioned procedures generate dangerous by-products and necessitate costly treatment methods. On the basis of this perspective, photocatalysis has garnered a significant amount of interest in the sector of environmental remediation due to the utilization of solar light, which is both a constant non-degrading source and also capable of degrading organic contaminants without producing any carcinogenic by-products [ 8 , 9 , 10 , 11 ]. Semiconductor photo catalysts are commonly used to transform light into chemical energy. The non-toxic characteristics of ZnO, combined with its features such as its economy and large surface area, have contributed to its being recognised as a leading candidate for a catalyst [ 12 ]. It is amazing that ZnO is a robust photocatalyst and is vulnerable to photocorrosion, supporting its recyclability [ 13 ]. However, pure ZnO suffers from poor quantum yield. This is because photogenerated electron-hole pairs recombine very quickly, which limits their application in photocatalysis [ 14 ]. In particular, doping other metal ions into the crystal system creates the intermediate band structure below the conduction band of ZnO, which helps to harvest a larger amount of the solar spectrum. In particular, the catalytic performance of ZnO can be boosted by doping it with metal ions, which results in defects being created in the crystal structure. In addition, metal ions can play the role of electron-trapping agents, preventing electron-hole recombination and favouring charge separation. The photocatalytic reactions can be enhanced by adding metal ions to the ZnO matrix [ 15 , 16 ]. Recently, it was reported that ZnO nanoparticles synthesized through precipitation method using sodium dodecyl sulfate can degrade 49% of tetracycline [ 17 ]. Similarly, the Ni doping in ZnO matrix decreased the recombination rate of the charge carriers and resulted in enhanced photodegradation efficiency (94%) for the removal of methylene blue dye [ 18 ]. A growing number of researchers are looking to rare earth metals as a dopant to improve photo catalysts for the decomposition of organic contaminants [ 19 , 20 ]. Rare earth enhances photocatalytic efficacy while decreasing electron-hole recombination. Rare-earth metals have an imperfect 4f orbital configuration, which helps to corral the electron, which minimises the recombination of charge carriers as well as increasing the catalytic performance [ 21 ]. In particular, the 4f electron configuration and multi-electron organization of rare-earth metals provide high thermal resistance to the ZnO structure. Vaiano et al. [ 22 ] modified ZnO with praseodymium (Pr) and observed exceptional photocatalytic performance under the exposure of ultraviolet and visible light. Zong et al. and Korake et al. investigated the excellent photocatalytic performance of eu-doped ZnO nanoparticles [ 23 , 24 ]. Okte et al. described the synthesis of several rare earth (La, Eu, Gd, Dy, and Ho)-loaded ZnOs and investigated their photocatalytic performance in the removal of methyl orange dye [ 25 ]. The photocatalytic efficiency of Ln (La, Nd, or Sm)-doped zinc oxide nanoparticles in the decomposition of p-nitrophenol was investigated by Khatamian et al. [ 19 ]. However, Nb doped ZnO (0.25 g/L) has the capacity to degrade 75.7% of TC (15 mg/L) in 150 min of experiment. The observed results were explained in terms of greater surface area and a narrow band gap in Nd doped ZnO catalysts [ 26 ]. Researchers mainly interested in photocatalysis for the removal of waste water may consider the involvement of rare earth metals doped into ZnO to be relevant to the presented findings. ZnO nanoparticles doped with rare-earth metal ions still need to be explored for optimal photocatalytic efficiency for the degradation of organic contaminants. Moreover, the induction of a few percent of rare earth elements into a ZnO matrix can induce room temperature magnetism, which is the required condition for spintronic applications [ 27 , 28 ]. However, the cause of room temperature magnetism is still controversial and needs to be explored. Both photo catalytic degradation and spintronic applications of ZnO rely directly on the synthesis route which may optimize the crystallite size, lattice defects, morphology, band gap, and magnetic properties. Rare earth doping into the ZnO structure has emerged as an effective way to modify these properties, especially defects chemistry, which plays a crucial role in determining the efficacy of the catalyst. In the present work, we have successfully synthesized rare earth doped ZnO nanoparticles, characterised them for structural, optical, and magnetic properties, and used them to degrade the tetracycline drug under UV-visible light irradiation, inspired by the potential of rare earth doping into ZnO for optimising the properties and applications in wastewater treatment. For the purposes of comparison, the malachite green and crystal violet dyes have also been tested for degradation.	The photocatalytic efficiency of Ln (La, Nd, or Sm)-doped zinc oxide nanoparticles in the decomposition of p-nitrophenol was investigated by Khatamian et al. [ 19 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/molecules28062838	10058257	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	B41-nutrients-16-00344	Iron (heme and non-heme) intake can be involved in mortality via oxidative stress, which contributes to the aging process [ 38 ]. Heme iron has pro-oxidant properties that may encourage oxidative injury and inflammation in several organs [ 39 ]. Numerous health consequences, including diabetes, CVD, and cancer, have been linked to heme iron [ 40 , 41 , 42 , 43 ]. Lipid peroxidation and oxidative stress indicators can be brought on by dietary iron [ 44 , 45 ]. Low-density lipoprotein (LDL) can oxidize with the help of heme iron, perhaps acting as a catalyst. This can lead to inflammation that damages tissue and raises the risk of cardiovascular disease (CVD) [ 44 ].	Heme iron has prooxidant properties that may encourage oxidative injury and inflammation in several organs  39 . Numerous health consequences, including diabetes, CVD, and cancer, have been linked to heme iron  40 , 41 , 42 , 43 .	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.3390/nu16030344	10857363	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	B4	Burnout is a condition of emotional exhaustion, depersonalization, and low personal accomplishment that can occur among individuals who work with people in some capacity [ 3 ]. The emotional exhaustion component is characterized by loss of emotional resources and energy, lack of enthusiasm, frustration, tension, and fatigue. The depersonalization component represents the interpersonal relationships that lead to a negative interaction. The sense of low personal accomplishment refers to feelings of incompetence [ 4 ].	The depersonalization component represents the interpersonal relationships that lead to a negative interaction. The sense of low personal accomplishment refers to feelings of incompetence  4 .	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.1155/2020/8814557	7586184	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: when i'm calling you, will you answer too?	B35	However, the decentralized character of FL introduces substantial challenges, especially in terms of data heterogeneity and distribution shifts. For instance, in ophthalmology, considerable variations in retinal images across different institutions can be attributable to factors such as the use of distinct imaging devices ( 34 ), heterogeneous patient populations ( 35 ), and inconsistencies in image acquisition protocols ( 36 ).	For instance, in ophthalmology, considerable variations in retinal images across different institutions can be attributable to factors such as the use of distinct imaging devices ( 34 ), heterogeneous patient populations ( 35 ), and inconsistencies in image acquisition protocols ( 36 ).	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3389/fmed.2023.1259017	10613107	Unrelated
28743020	Animal communication: when i'm calling you, will you answer too?	bib58	The cell surface ACE2 receptor of the respiratory tract's target cells assisted the SARS-CoV-2 viral fusion and infection of the host cell, the transmembrane TMPRSS2 cleaved the viral spike protein and supported virion entry into the cell [ 3 , 55 ]. Even though the viral replication is mainly confined to the respiratory tract, previous findings revealed that replication of SARS-CoV-2 in extrapulmonary tissues like the pancreas, colon, tonsils, and ilium [ 56 , 57 ]. Though, it is notable that the ACE2 receptor is expressed in numerous tissues and organs such as the heart, intestine, brain, adipose tissue, pancreas, kidney, vasculature, and liver, making them potential targets for COVID-19, which may clarify the destruction reported in multi-organ systems in patients with COVID-19 [ 56 , 58 , 59 ]. Remarkably, the risk factors like obesity and DM are associated with an increased expression of ACE2 in different tissues, leading to a possible rise in the viral load [ 60 , 61 ]. Moreover, the flaking of ACE2 from the cell surface and its redistribution, usually detected in obese and diabetic people, supports the viral spread to various body parts [ 60 ].	Though, it is notable that the ACE2 receptor is expressed in numerous tissues and organs such as the heart, intestine, brain, adipose tissue, pancreas, kidney, vasculature, and liver, making them potential targets for COVID-19, which may clarify the destruction reported in multi-organ systems in patients with COVID-19 [ 56 , 58 , 59 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1016/j.metop.2021.100137	8516148	Unrelated
28743020	Animal communication: when i'm calling you, will you answer too?	bib58	Metformin which is a direct activator of AMPK, is identified to promote ACE2 phosphorylation (Ser 680), leading a conformational change, and, may prevent viral binding to the host ACE2 receptor [ 62 ]. Furthermore, Metformin-mediated AMPK-dependent phosphorylation of ACE2 extends ACE2 half-life and hence potentially offers lung protection [ 63 ]. In contrast, it is theorized that Metformin could stabilize ACE2 expression in the respiratory tract and probably rise SARS-CoV-2 infection [ 64 ]. Though, it is notable that viral binding to the ACE2 declines ACE2 availability and stability, leading to the manifestation of harmful biological effects (fibrotic, vasoconstrictive, proliferative, and pro-hypertrophic, induction of oxidative stress, and inflammatory effects) and an imbalance in the RAAS in various body parts [ 29 , 58 ]. Due to the role in the activation of AMPK and further downstream ACE2, Metformin can prevent ACE2 down-regulation mediated by SARS-CoV-2 [ 65 ].	Though, it is notable that viral binding to the ACE2 declines ACE2 availability and stability, leading to the manifestation of harmful biological effects (fibrotic, vasoconstrictive, proliferative, and pro-hypertrophic, induction of oxidative stress, and inflammatory effects) and an imbalance in the RAAS in various body parts [ 29 , 58 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1016/j.metop.2021.100137	8516148	Unrelated
28743020	Animal communication: when i'm calling you, will you answer too?	bib58	Several findings have confirmed the valuable activities of metformin in patients infected with COVID-19, although some findings have revealed that Metformin-treatment can increase disease severity (but not mortality) and risk of acidosis in patients with COVID-19 [ 58 , 82 ]. This advocates that treatment with Metformin is not a suitable choice in patients with severe renal impairment, heart failure, and respiratory distress, and highlights the role of giving attention to pre-existing comorbidities and conditions in medication selection [ 88 ]. Moreover, contraindications and adverse effects of Metformin in COVID-19 patients should be addressed prior to administration.	Several findings have confirmed the valuable activities of metformin in patients infected with COVID-19, although some findings have revealed that Metformin-treatment can increase disease severity (but not mortality) and risk of acidosis in patients with COVID-19 [ 58 , 82 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1016/j.metop.2021.100137	8516148	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: When i’m calling you, will you answer too?	B178-cells-11-03713	Various subtypes of stem cells can be separated during the prenatal stage. The placenta, umbilical cord, and amnion are all sources of MSCs. The term “human amnion-derived MSCs” (hAD-MSCs) is frequently used to refer to the stem cells that can be found in amniotic fluid as well as human amniotic epithelial cells [ 173 , 174 , 175 ]. MSCs obtained from the umbilical cord have a very low initial immunogenicity, making them suitable for allogeneic treatment [ 176 ]. Compared to perivascular stem cells (PSCs) from umbilical veins or MSCs produced from Wharton’s jelly, PSCs from umbilical arteries are more likely to express the Notch Ligand Jagged 1 than MSCs from the umbilical cord [ 177 ]. Rebuilding ovarian function frequently involves the use of human chorionic plate-derived MSCs (hCMSCs), also known as human placenta-derived MSCs (hPMSCs). It has been demonstrated that hPMSCs secrete a variety of cell factors, including IL-6, IL-8, and IL-10, granulocyte colony-stimulating factor, and chemokine (C-C motif) ligand 5 [ 178 ]. Even though there are only a few studies on this application, they show promising results and should be considered for more in-depth research and eventual clinical application.	It has been demonstrated that hPMSCs secrete a variety of cell factors, including IL-6, IL-8, and IL-10, granulocyte colony-stimulating factor, and chemokine (C-C motif) ligand 5 [ 178 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/cells11233713	9738202	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: when I'm calling you, will you answer too?	bib37	The presently available treatment for TBI only temporarily rescues the brain damage and other neurological symptoms such as behavioral abnormalities [ 36 ]. The management available for TBI in the current scenario is the intracranial pressure control, use of hypertonic solutions, surgical and seizure interventions [ 37 ]. In the current study, we found that troxerutin supplementation in the TBI mouse model rescues the different pathological and deleterious effects. We found that treatment with troxerutin seven days before injury significantly improved the NSS score, body weight, food intake, glucose level, behavioral outcome, brain edema and neurodegeneration in a mouse model of mild-moderate closed head injury. Similarly, troxerutin pre-treatment also reduced the brain lesion volume, ROS and rescue the BBB leakage. The selected dose of troxerutin was derived from previous studies [ 20 , 38 ] and the pre-treatment paradigm is a new concept.	The management available for TBI in the current scenario is the intracranial pressure control, use of hypertonic solutions, surgical and seizure interventions [ 37 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1016/j.heliyon.2023.e18033	10362234	Unrelated
